read_id	exon_left	exon_left_len	exon_left_start_pos_align	exon_left_end_pos_align	exon_left_read_end_pos_align	exon_right	exon_right_len	exon_right_start_pos_align	exon_right_end_pos_align	read_count	exon_comb_short_rc	exon_right_read_start_pos_align	exon_comb_type	exon_left_miss	exon_right_miss	exon_join	exon_order	gap	exon_exon_gap_corrected
read_00158	3	130	1	26	251	16	101	45	101	1	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00158	16	101	45	101	306	17	147	1	147	1	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00158	17	147	1	147	453	18	102	1	97	1	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00159	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00159	2	168	1	168	225	3	130	1	26	1	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00159	3	130	1	26	251	16	101	45	101	1	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00159	16	101	45	101	306	17	147	1	147	1	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00159	17	147	1	147	453	18	102	1	99	1	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00160	1	57	1	57	57	2	168	1	79	1	1-2,18	58	1	0	0	1-2	1	0	0
read_00160	2	168	1	79	136	18	102	13	99	1	1-2,18	137	0	89	12	2-18	2	0	0
read_00161	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00161	2	168	1	168	223	3	130	1	26	1	1-3,16-18	224	1	0	0	2-3	2	0	0
read_00161	3	130	1	26	249	16	101	45	101	1	1-3,16-18	248	0	104	44	3-16	3	-2	0
read_00161	16	101	45	101	304	17	147	1	147	1	1-3,16-18	305	1	0	0	16-17	4	0	0
read_00161	17	147	1	147	451	18	102	1	102	1	1-3,16-18	452	1	0	0	17-18	5	0	0
read_00162	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00162	2	168	1	168	225	3	130	1	26	1	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00162	3	130	1	26	251	16	101	45	101	1	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00162	16	101	45	101	306	17	147	1	147	1	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00162	17	147	1	147	453	18	102	1	102	1	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00163	1	57	3	57	55	2	168	1	168	1	1-3,16-18	56	1	0	0	1-2	1	0	0
read_00163	2	168	1	168	223	3	130	1	26	1	1-3,16-18	224	1	0	0	2-3	2	0	0
read_00163	3	130	1	26	249	16	101	45	101	1	1-3,16-18	248	0	104	44	3-16	3	-2	0
read_00163	16	101	45	101	304	17	147	1	147	1	1-3,16-18	305	1	0	0	16-17	4	0	0
read_00163	17	147	1	147	451	18	102	1	99	1	1-3,16-18	452	1	0	0	17-18	5	0	0
read_00164	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00164	2	168	1	168	225	3	130	1	26	1	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00164	3	130	1	26	251	16	101	45	101	1	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00164	16	101	45	101	306	17	147	1	147	1	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00164	17	147	1	147	453	18	102	1	102	1	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00166	1	57	1	57	57	2	168	2	168	1	1-3,17-18	59	1	0	1	1-2	1	1	1
read_00166	2	168	2	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00166	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00166	17	147	62	147	397	18	102	1	102	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00167	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00167	2	168	1	168	225	3	130	1	26	1	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00167	3	130	1	26	251	16	101	45	94	1	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00167	16	101	45	94	299	17	147	1	147	1	1-3,16-18	304	1	7	0	16-17	4	4	4
read_00167	17	147	1	147	450	18	102	1	102	1	1-3,16-18	451	1	0	0	17-18	5	0	0
read_00168	1	57	3	57	55	2	168	1	168	3	1-3,16-18	56	1	0	0	1-2	1	0	0
read_00168	2	168	1	168	223	3	130	1	26	3	1-3,16-18	224	1	0	0	2-3	2	0	0
read_00168	3	130	1	26	249	16	101	45	101	3	1-3,16-18	248	0	104	44	3-16	3	-2	0
read_00168	16	101	45	101	304	17	147	1	147	3	1-3,16-18	305	1	0	0	16-17	4	0	0
read_00168	17	147	1	147	451	18	102	1	102	3	1-3,16-18	452	1	0	0	17-18	5	0	0
read_00169	1	57	1	57	57	17	147	38	147	2	1,17-18	63	0	0	37	1-17	1	5	5
read_00169	17	147	38	147	172	18	102	1	102	2	1,17-18	173	1	0	0	17-18	2	0	0
read_00170	1	57	4	57	54	2	168	2	168	1	1-3,17-18	56	1	0	1	1-2	1	1	1
read_00170	2	168	2	168	222	3	130	1	89	1	1-3,17-18	223	1	0	0	2-3	2	0	0
read_00170	3	130	1	89	311	17	147	62	147	1	1-3,17-18	309	0	41	61	3-17	3	-3	0
read_00170	17	147	62	147	394	18	102	1	95	1	1-3,17-18	395	1	0	0	17-18	4	0	0
read_00171	1	57	1	54	54	2	168	2	168	1	1-3,17-18	59	1	3	1	1-2	1	4	4
read_00171	2	168	2	168	225	3	130	1	89	1	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00171	3	130	1	89	314	17	147	62	147	1	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00171	17	147	62	147	397	18	102	1	102	1	1-3,17-18	398	1	0	0	17-18	4	0	0
read_00172	1	57	1	57	57	2	168	1	168	1	1-3,16-18	58	1	0	0	1-2	1	0	0
read_00172	2	168	1	168	225	3	130	1	26	1	1-3,16-18	226	1	0	0	2-3	2	0	0
read_00172	3	130	1	26	251	16	101	45	101	1	1-3,16-18	250	0	104	44	3-16	3	-2	0
read_00172	16	101	45	101	306	17	147	1	147	1	1-3,16-18	307	1	0	0	16-17	4	0	0
read_00172	17	147	1	147	453	18	102	1	100	1	1-3,16-18	454	1	0	0	17-18	5	0	0
read_00174	1	57	1	57	57	2	168	2	168	6	1-3,17-18	59	1	0	1	1-2	1	1	1
read_00174	2	168	2	168	225	3	130	1	89	6	1-3,17-18	226	1	0	0	2-3	2	0	0
read_00174	3	130	1	89	314	17	147	62	147	6	1-3,17-18	312	0	41	61	3-17	3	-3	0
read_00174	17	147	62	147	397	18	102	1	97	6	1-3,17-18	398	1	0	0	17-18	4	0	0
